"ID","Name","Color"
"321","Red","RGBColor[0.7390040221278842, 0.13078637706680227, 0.23514977488452726]"
"322","Baby Blue Dark","RGBColor[0.2718777229756956, 0.4656335436002105, 0.659246870462951]"
"326","Rose Very Dark","RGBColor[0.6762664630628388, 0.17337404258863406, 0.25982320077824295]"
"327","Violet Dark","RGBColor[0.4099837381254335, 0.17317242363659047, 0.42770597748472444]"
"3325","Baby Blue Light","RGBColor[0.6835404626497422, 0.8030112910874361, 0.891155825752853]"
"3326","Rose Light","RGBColor[0.946017951990718, 0.622567637267992, 0.653989107957421]"
"3328","Salmon Dark","RGBColor[0.809649495714328, 0.33501673982757446, 0.35751480777889383]"
"333","Blue Violet Very Dark","RGBColor[0.34099903968386075, 0.2417768635926451, 0.5162040668607084]"
"334","Baby Blue Medium","RGBColor[0.4305087724197676, 0.6016097740733559, 0.7554385445336236]"
"3340","Apricot Medium","RGBColor[0.9663061811114209, 0.4414839460641907, 0.32386535934969873]"
"3341","Apricot","RGBColor[0.9607769932598655, 0.5690006232652449, 0.4645921732292542]"
"3345","Hunter Green Dark","RGBColor[0.19071508348670885, 0.34122672688729516, 0.1526985347835243]"
"3346","Hunter Green","RGBColor[0.3195651431408775, 0.4407814113995746, 0.238088326773567]"
"3347","Yellow Green Medium","RGBColor[0.4155501599127234, 0.5307819682771382, 0.286709434024472]"
"3348","Yellow Green Light","RGBColor[0.798776582048792, 0.8675914577762656, 0.5703839951609517]"
"335","Rose","RGBColor[0.8501113311001782, 0.2853360393922408, 0.38605204393120246]"
"3350","Dusty Rose Ultra Dark","RGBColor[0.716607831841413, 0.241344436700061, 0.34033905290696315]"
"3354","Dusty Rose Light","RGBColor[0.9007671185886863, 0.6263241088985934, 0.6582464051310573]"
"336","Navy Blue","RGBColor[0.10019250185336945, 0.2032769177669872, 0.3839696616902139]"
"3362","Pine Green Dark","RGBColor[0.29152755024927096, 0.3397327744714346, 0.22201867012493198]"
"3363","Pine Green Medium","RGBColor[0.4150399214105999, 0.4916949300569585, 0.31358147065944064]"
"3364","Pine Green","RGBColor[0.5785780522476371, 0.6299331474937901, 0.3940253441325534]"
"3371","Black Brown","RGBColor[0.140325288936447, 0.0958717216248423, 0.037785193334982904]"
"340","Blue Violet Medium","RGBColor[0.640923709189114, 0.5795816779620933, 0.785070014988053]"
"341","Blue Violet Light","RGBColor[0.6676557205759841, 0.6887628533664246, 0.8378887717866714]"
"347","Salmon Very Dark","RGBColor[0.7336186213574325, 0.15654918168160792, 0.22134834106032292]"
"349","Coral Dark","RGBColor[0.8176602937226739, 0.12143026693424663, 0.2252471476336264]"
"350","Coral Medium","RGBColor[0.8883496305606029, 0.2658117594912689, 0.2729153401046994]"
"351","Coral","RGBColor[0.9145541993206299, 0.3909360161213803, 0.3668983791250706]"
"352","Coral Light","RGBColor[0.9627062680937055, 0.5433557473376411, 0.49896942377392667]"
"353","Peach","RGBColor[0.9859261285230783, 0.7661297829935382, 0.7062470236318501]"
"355","Terra Cotta Dark","RGBColor[0.5962263516148928, 0.2345010595698452, 0.18726235030758248]"
"356","Terra Cotta Medium","RGBColor[0.770413376530542, 0.3995122902608109, 0.32761934603539156]"
"3607","Plum Light","RGBColor[0.7744277128722542, 0.2763886843683831, 0.5317997078331721]"
"3608","Plum Very Light","RGBColor[0.8906716563163988, 0.5650123342666742, 0.7425832565698338]"
"3609","Plum Ultra Light","RGBColor[0.9364648909388806, 0.7123760131990633, 0.848455328147387]"
"367","Pistachio Green Dark","RGBColor[0.31502135122354535, 0.4435711088060556, 0.27786962446827657]"
"368","Pistachio Green Light","RGBColor[0.575906832311833, 0.7401810479044808, 0.47112183083503945]"
"3685","Mauve Very Dark","RGBColor[0.4628970986747041, 0.12207833231412651, 0.21955603671384435]"
"3687","Mauve","RGBColor[0.718479156611811, 0.32352079607950346, 0.3929032624502436]"
"3688","Mauve Medium","RGBColor[0.8740888845299115, 0.5400342989124759, 0.5872658555262765]"
"3689","Mauve Light","RGBColor[0.9746341931728701, 0.7747615812765574, 0.8018567890500179]"
"369","Pistachio Green Very Light","RGBColor[0.8035540074537855, 0.8962719030946457, 0.6979604484826815]"
"370","Mustard Medium","RGBColor[0.6602077882067703, 0.5470544771243687, 0.3062106784872599]"
"3705","Melon Dark","RGBColor[0.9212652873641678, 0.32648673460178157, 0.39433229737469044]"
"3706","Melon Medium","RGBColor[0.9753765327307823, 0.5241112071044951, 0.5580474466800951]"
"3708","Melon Light","RGBColor[0.9774644048037616, 0.6704550623398664, 0.7111103472461616]"
"371","Mustard","RGBColor[0.7380984148832423, 0.6406355165408811, 0.3853514765138044]"
"3712","Salmon Medium","RGBColor[0.8791776633049724, 0.4269595114634407, 0.4485423067008084]"
"3713","Salmon Very Light","RGBColor[0.977894563832489, 0.8454441475381921, 0.8472435525705942]"
"3716","Dusty Rose Medium Very Light","RGBColor[0.961752320658727, 0.6958161394493528, 0.7194578727403775]"
"372","Mustard Light","RGBColor[0.7789620290591307, 0.7069900982458814, 0.47721706836429917]"
